,pmhc1,neg_control,fold_increase,is_binder,clone_id,outlier
0,11,4,20.0,0,0,0
1,19,9,20.0,0,1,0
2,17,1,20.0,0,2,0
3,3,0,20.0,0,2,0
4,7,9,20.0,0,2,0
5,2,8,20.0,0,3,0
6,17,0,20.0,0,3,0
7,3,0,20.0,0,4,0
8,5,7,20.0,0,5,0
9,3,7,20.0,0,5,0
10,1,8,20.0,0,5,0
11,1,1,20.0,0,5,0
12,1,1,20.0,0,6,0
13,8,0,20.0,0,6,0
14,5,0,20.0,0,7,0
15,4,0,20.0,0,8,0
16,13,1,20.0,0,8,0
17,3,0,20.0,0,8,0
18,5,1,20.0,0,8,0
19,5,8,20.0,0,8,0
20,3,1,20.0,0,8,0
21,6,0,20.0,0,9,0
22,6,1,20.0,0,9,0
23,0,3,20.0,0,10,0
24,7,2,20.0,0,10,0
25,5,6,20.0,0,11,0
26,4,2,20.0,0,11,0
27,2,0,20.0,0,12,0
28,2,2,20.0,0,12,0
29,1,0,20.0,0,13,0
30,14,4,20.0,0,13,0
31,5,4,20.0,0,14,0
32,3,0,20.0,0,15,0
33,11,4,20.0,0,15,0
34,3,0,20.0,0,16,0
35,4,0,20.0,0,17,0
36,2,1,20.0,0,18,0
37,4,2,20.0,0,18,0
38,9,11,20.0,0,19,0
39,14,9,20.0,0,19,0
40,5,3,20.0,0,19,0
41,4,4,20.0,0,20,0
42,11,2,20.0,0,21,0
43,9,11,20.0,0,21,0
44,14,2,20.0,0,21,0
45,5,1,20.0,0,21,0
46,9,4,20.0,0,22,0
47,17,4,20.0,0,22,0
48,7,6,20.0,0,23,0
49,2,0,20.0,0,23,0
50,15,7,20.0,0,24,0
51,11,9,20.0,0,25,0
52,3,1,20.0,0,25,0
53,7,1,20.0,0,25,0
54,0,12,20.0,0,25,0
55,9,2,20.0,0,26,0
56,16,2,20.0,0,26,0
57,2,1,20.0,0,26,0
58,13,1,20.0,0,26,0
59,12,1,20.0,0,26,0
60,9,2,20.0,0,26,0
61,4,4,20.0,0,26,0
62,5,5,20.0,0,27,0
