,Method,Epitope,Experiment,Baseline,Metric,Value
0,Base,LTD,first,kocher,F1-Score,0.9787234042553191
1,Base,LTD,first,kocher,Accuracy,0.9990842490842491
2,Base,LTD,first,kocher,Precision,0.9583333333333334
3,Base,LTD,first,kocher,Recall,1.0
4,Base,YLQ,first,kocher,F1-Score,0.9787234042553191
5,Base,YLQ,first,kocher,Accuracy,0.9990842490842491
6,Base,YLQ,first,kocher,Precision,0.9583333333333334
7,Base,YLQ,first,kocher,Recall,1.0
8,Base,LTD,first,kocher2,F1-Score,1.0
9,Base,LTD,first,kocher2,Accuracy,1.0
10,Base,LTD,first,kocher2,Precision,1.0
11,Base,LTD,first,kocher2,Recall,1.0
12,Base,YLQ,first,kocher2,F1-Score,1.0
13,Base,YLQ,first,kocher2,Accuracy,1.0
14,Base,YLQ,first,kocher2,Precision,1.0
15,Base,YLQ,first,kocher2,Recall,1.0
16,Base,LTD,first,vdjdb,F1-Score,1.0
17,Base,LTD,first,vdjdb,Accuracy,1.0
18,Base,LTD,first,vdjdb,Precision,1.0
19,Base,LTD,first,vdjdb,Recall,1.0
20,Base,YLQ,first,vdjdb,F1-Score,1.0
21,Base,YLQ,first,vdjdb,Accuracy,1.0
22,Base,YLQ,first,vdjdb,Precision,1.0
23,Base,YLQ,first,vdjdb,Recall,1.0
24,Base,LTD,first,paper,F1-Score,1.0
25,Base,LTD,first,paper,Accuracy,1.0
26,Base,LTD,first,paper,Precision,1.0
27,Base,LTD,first,paper,Recall,1.0
28,Base,YLQ,first,paper,F1-Score,1.0
29,Base,YLQ,first,paper,Accuracy,1.0
30,Base,YLQ,first,paper,Precision,1.0
31,Base,YLQ,first,paper,Recall,1.0
32,Base,LTD,second,kocher,F1-Score,0.8910891089108911
33,Base,LTD,second,kocher,Accuracy,0.9986017985954432
34,Base,LTD,second,kocher,Precision,0.9375
35,Base,LTD,second,kocher,Recall,0.8490566037735849
36,Base,YLQ,second,kocher,F1-Score,0.8872180451127819
37,Base,YLQ,second,kocher,Accuracy,0.9995233404302647
38,Base,YLQ,second,kocher,Precision,0.8939393939393939
39,Base,YLQ,second,kocher,Recall,0.8805970149253731
40,Base,LTD,second,kocher2,F1-Score,0.9183673469387755
41,Base,LTD,second,kocher2,Accuracy,0.9667705088265836
42,Base,LTD,second,kocher2,Precision,1.0
43,Base,LTD,second,kocher2,Recall,0.8490566037735849
44,Base,YLQ,second,kocher2,F1-Score,0.9365079365079365
45,Base,YLQ,second,kocher2,Accuracy,0.9916926272066459
46,Base,YLQ,second,kocher2,Precision,1.0
47,Base,YLQ,second,kocher2,Recall,0.8805970149253731
48,Base,LTD,second,vdjdb,F1-Score,0.9655172413793104
49,Base,LTD,second,vdjdb,Accuracy,0.9974587039390089
50,Base,LTD,second,vdjdb,Precision,1.0
51,Base,LTD,second,vdjdb,Recall,0.9333333333333333
52,Base,YLQ,second,vdjdb,F1-Score,0.8095238095238095
53,Base,YLQ,second,vdjdb,Accuracy,0.9949174078780177
54,Base,YLQ,second,vdjdb,Precision,1.0
55,Base,YLQ,second,vdjdb,Recall,0.68
56,Base,LTD,second,paper,F1-Score,0.916030534351145
57,Base,LTD,second,paper,Accuracy,0.9860583016476553
58,Base,LTD,second,paper,Precision,1.0
59,Base,LTD,second,paper,Recall,0.8450704225352113
60,Base,YLQ,second,paper,F1-Score,0.8872180451127819
61,Base,YLQ,second,paper,Accuracy,0.9936628643852978
62,Base,YLQ,second,paper,Precision,1.0
63,Base,YLQ,second,paper,Recall,0.7972972972972973
64,Base,LTD,third,kocher,F1-Score,0.8089887640449438
65,Base,LTD,third,kocher,Accuracy,0.9954456152884443
66,Base,LTD,third,kocher,Precision,0.9818181818181818
67,Base,LTD,third,kocher,Recall,0.6878980891719745
68,Base,YLQ,third,kocher,F1-Score,0.8888888888888888
69,Base,YLQ,third,kocher,Accuracy,0.9981834695731153
70,Base,YLQ,third,kocher,Precision,0.8
71,Base,YLQ,third,kocher,Recall,1.0
72,Base,LTD,third,kocher2,F1-Score,0.8150943396226416
73,Base,LTD,third,kocher2,Accuracy,0.8878718535469108
74,Base,LTD,third,kocher2,Precision,1.0
75,Base,LTD,third,kocher2,Recall,0.6878980891719745
76,Base,YLQ,third,kocher2,F1-Score,0.9411764705882353
77,Base,YLQ,third,kocher2,Accuracy,0.9885057471264368
78,Base,YLQ,third,kocher2,Precision,0.8888888888888888
79,Base,YLQ,third,kocher2,Recall,1.0
80,Base,LTD,third,vdjdb,F1-Score,0.875
81,Base,LTD,third,vdjdb,Accuracy,0.9938556067588326
82,Base,LTD,third,vdjdb,Precision,1.0
83,Base,LTD,third,vdjdb,Recall,0.7777777777777778
84,Base,YLQ,third,vdjdb,F1-Score,1.0
85,Base,YLQ,third,vdjdb,Accuracy,1.0
86,Base,YLQ,third,vdjdb,Precision,1.0
87,Base,YLQ,third,vdjdb,Recall,1.0
88,Base,LTD,third,paper,F1-Score,0.8089887640449438
89,Base,LTD,third,paper,Accuracy,0.9502439024390243
90,Base,LTD,third,paper,Precision,1.0
91,Base,LTD,third,paper,Recall,0.6792452830188679
92,Base,YLQ,third,paper,F1-Score,0.9411764705882353
93,Base,YLQ,third,paper,Accuracy,0.9925925925925926
94,Base,YLQ,third,paper,Precision,0.8888888888888888
95,Base,YLQ,third,paper,Recall,1.0
96,CloneModel,LTD,first,kocher,F1-Score,0.9787234042553191
97,CloneModel,LTD,first,kocher,Accuracy,0.9990842490842491
98,CloneModel,LTD,first,kocher,Precision,0.9583333333333334
99,CloneModel,LTD,first,kocher,Recall,1.0
100,CloneModel,YLQ,first,kocher,F1-Score,1.0
