,% Pos,Expansion,# clones,Log # clones
0,1.0,1,109,2.037426497940624
1,1.0,2,28,1.4471580313422192
2,0.5,2,7,0.8450980400142568
3,1.0,3,7,0.8450980400142568
4,1.0,4,5,0.6989700043360189
5,0.8571428571428571,7,4,0.6020599913279624
6,0.6666666666666666,3,4,0.6020599913279624
7,0.3333333333333333,3,3,0.47712125471966244
8,0.0013386880856760374,747,2,0.3010299956639812
9,1.0,8,2,0.3010299956639812
10,0.9090909090909091,11,2,0.3010299956639812
11,0.014705882352941176,68,2,0.3010299956639812
12,0.25,4,2,0.3010299956639812
13,0.5,4,2,0.3010299956639812
14,0.6,5,2,0.3010299956639812
15,1.0,6,2,0.3010299956639812
16,0.006369426751592357,157,1,0.0
17,0.6,15,1,0.0
18,0.5,6,1,0.0
19,0.3333333333333333,6,1,0.0
20,0.0034965034965034965,286,1,0.0
21,0.01282051282051282,78,1,0.0
22,0.012987012987012988,77,1,0.0
23,0.04,25,1,0.0
24,0.2,5,1,0.0
25,0.0018365472910927456,1089,1,0.0
26,0.8333333333333334,6,1,0.0
27,0.75,4,1,0.0
28,0.8,5,1,0.0
29,0.6666666666666666,6,1,0.0
30,0.8461538461538461,13,1,0.0
31,0.9821428571428571,56,1,0.0
32,1.0,10,1,0.0
